year,state,source,winner,loser,winner_party,winner_vote_pct,loser_vote_pct,winner_mention_share,loser_mention_share,winner_ngrams_freq,loser_ngrams_freq,attention_leader_won,status
1966,SD,Google Ngrams,Nils Boe,Robert Chamberlin,R,0.5771000000000001,0.4229,0.8896727547377536,0.11032724526224635,1.565100138378739e-08,1.9408618046057313e-09,1.0,ok
1966,TX,Google Ngrams,John Connally,T. E. Kennerly,D,0.728,0.258,0.9895681862171516,0.01043181378284841,1.524440946809591e-07,1.607032673600628e-09,1.0,ok
1966,VT,Google Ngrams,Philip H. Hoff,Richard A. Snelling,D,0.5770000000000001,0.423,0.9574735201982134,0.04252647980178659,7.756300490768808e-08,3.444984630895931e-09,1.0,ok
1966,WI,Google Ngrams,Warren P. Knowles,Patrick Lucey,R,0.535,0.4608,0.9505946974920808,0.04940530250791919,8.275729967976986e-08,4.3011489925248725e-09,1.0,ok
1966,WY,Google Ngrams,Stanley Hathaway,Ernest Wilkerson,R,0.5428999999999999,0.4571,0.28044167781285984,0.7195583221871402,1.2653726122469067e-09,3.246697855008307e-09,0.0,ok
1967,KY,Google Ngrams,Louie Nunn,Henry Ward,R,0.512,0.4799,0.009344536023727156,0.9906554639762728,2.733101800433957e-09,2.897481721220174e-07,0.0,ok
1967,MS,Google Ngrams,John Bell Williams,Rubel Phillips,D,0.7027,0.2973,0.9375576614174674,0.062442338582532564,6.777608163588411e-08,4.513959206420282e-09,1.0,ok
1968,AZ,Google Ngrams,Jack Williams,Samuel Goddard,R,0.578,0.422,0.9853341355763238,0.014665864423676234,1.0403542560766255e-07,1.548479233726141e-09,1.0,ok
1968,AR,Google Ngrams,Winthrop Rockefeller,Marion H. Crank,R,0.5243,0.4757,0.9832284615808138,0.016771538419186216,1.0231335068056069e-07,1.7452223555203261e-09,1.0,ok
1968,DE,Google Ngrams,Russell W. Peterson,Charles L. Terry Jr.,R,0.5051,0.4949,0.12492099686054177,0.8750790031394582,7.950712310744734e-09,5.569521199788596e-08,0.0,ok
1968,IL,Google Ngrams,Richard B. Ogilvie,Samuel H. Shapiro,R,0.5121,0.4836999999999999,0.38715245270055404,0.6128475472994459,4.7629519883685134e-08,7.53957110077863e-08,0.0,ok
1968,IN,Google Ngrams,Edgar Whitcomb,Robert L. Rock,R,0.5272,0.4713,0.08918983218455151,0.9108101678154485,2.719246716686996e-09,2.7769057275861542e-08,0.0,ok
1968,IA,Google Ngrams,Robert D. Ray,Paul Franzenburg,R,0.5406,0.4586,0.8508110092484135,0.14918899075158654,1.8262454659634386e-08,3.2023059759467287e-09,1.0,ok
1968,KS,Google Ngrams,Robert Docking,Rick Harman,D,0.519,0.476,0.9588161568223235,0.04118384317767654,4.927103969265545e-08,2.1163293478787537e-09,1.0,ok
1968,MO,Google Ngrams,Warren E. Hearnes,Lawrence K. Roos,D,0.608,0.392,0.9263374766678284,0.0736625233321716,6.891325199376297e-08,5.479994236168295e-09,1.0,ok
1968,MT,Google Ngrams,Forrest H. Anderson,Tim Babcock,D,0.5411,0.4186999999999999,0.32217428817946503,0.677825711820535,1.5511904205567362e-08,3.263565062638918e-08,0.0,ok
1968,NH,Google Ngrams,Walter R. Peterson Jr.,Emile R. Bussiere,R,0.5253,0.4744,0.7392912812552989,0.26070871874470114,4.238397188771614e-09,1.4946572868268504e-09,1.0,ok
1968,NM,Google Ngrams,David Cargo,Fabian Chavez Jr.,R,0.502,0.4929,0.8474924128606248,0.15250758713937518,1.5797207097989485e-08,2.8427321607793488e-09,1.0,ok
1968,NC,Google Ngrams,Robert W. Scott,Jim Gardner,D,0.527,0.473,0.8907632928918888,0.10923670710811118,3.756537303445384e-08,4.6067430981011626e-09,1.0,ok
1968,ND,Google Ngrams,William L. Guy,Robert P. McCarney,D,0.5482,0.437,0.9805459306149694,0.01945406938503058,4.3605036026406196e-08,8.651256100389304e-10,1.0,ok
1968,RI,Google Ngrams,Frank Licht,John Chafee,D,0.5102,0.4897999999999999,0.4614927744650615,0.5385072255349386,1.2329792298260145e-08,1.4387402380577896e-08,0.0,ok
1968,SD,Google Ngrams,Frank Farrar,Robert Chamberlin,R,0.5765,0.4235,0.7539469885184461,0.2460530114815539,9.625055863438092e-09,3.1411677703374608e-09,1.0,ok
1968,TX,Google Ngrams,Preston Smith,Paul Eggers,D,0.57,0.43,0.9390215020794439,0.060978497920556096,4.183704405136268e-08,2.7168282068501526e-09,1.0,ok
1968,UT,Google Ngrams,Cal Rampton,Carl W. Buehner,D,0.6870999999999999,0.3129,0.4093406433455591,0.5906593566544409,7.766580156776115e-10,1.1206811034725206e-09,0.0,ok
1968,VT,Google Ngrams,Deane C. Davis,John J. Daley,R,0.555,0.445,0.5951304364412379,0.40486956355876214,1.1916087894192628e-08,8.10656120009412e-09,1.0,ok
1968,WA,Google Ngrams,Daniel J. Evans,John J. O'Connell,R,0.5472,0.4428,0.6951410542933855,0.30485894570661454,1.065247872134023e-07,4.6717186563682844e-08,1.0,ok
1968,WV,Google Ngrams,Arch A. Moore Jr.,James M. Sprouse,R,0.5009,0.4901,0.8049690011769414,0.19503099882305863,4.8392545082265315e-08,1.17247327402481e-08,1.0,ok
