year,state,winner,loser,winner_party,loser_party,winner_pct,loser_pct
1978,Maine,Joseph Brennan,Linwood E. Palmer Jr.,D,R,0.478,0.344
1978,Maryland,Harry Hughes,John Glenn Beall Jr.,D,R,0.7062,0.2938
1978,Massachusetts,Edward J. King,Francis W. Hatch Jr.,D,R,0.5251,0.4719
1978,Michigan,William Milliken,William B. Fitzgerald Jr.,R,D,0.568,0.431
1978,Minnesota,Al Quie,Rudy Perpich,R,D,0.5235,0.4529999999999999
1978,Nebraska,Charles Thone,Gerald T. Whelan,R,D,0.5589999999999999,0.44
1978,Nevada,Robert List,Robert E. Rose,R,D,0.562,0.397
1978,New Hampshire,Hugh Gallen,Meldrim Thomson,D,R,0.4938,0.4543
1978,New Mexico,Bruce King,Joe Skeen,D,R,0.5055,0.4945
1978,New York,Hugh Carey,Perry Duryea,D,R,0.5095000000000001,0.4522
1978,Ohio,Jim Rhodes,Dick Celeste,R,D,0.4931,0.4764
1978,Oklahoma,George Nigh,Ron Shotts,D,R,0.5174,0.4721
1978,Oregon,Victor Atiyeh,Robert Straub,R,D,0.5471,0.4493
1978,Pennsylvania,Dick Thornburgh,Pete Flaherty,R,D,0.5254,0.4644
1978,Rhode Island,J. Joseph Garrahy,Lincoln Almond,D,R,0.6279,0.3073
1978,South Carolina,Richard Riley,Edward Lunn Young,D,R,0.613,0.377
1978,South Dakota,Bill Janklow,Roger D. McKellips,R,D,0.5660000000000001,0.434
1978,Tennessee,Lamar Alexander,Jake Butcher,R,D,0.5584,0.4416
1978,Texas,Bill Clements,John Hill,R,D,0.4996,0.4924
1978,Vermont,Richard Snelling,Edwin Granai,R,D,0.628,0.341
1978,Wisconsin,Lee S. Dreyfus,Martin J. Schreiber,R,D,0.5437,0.4489
1978,Wyoming,Edgar Herschler,John Ostlund,D,R,0.5085999999999999,0.4914
1979,Kentucky,John Y. Brown Jr.,Louie Nunn,D,R,0.5941,0.4059
1979,Mississippi,William F. Winter,Gil Carmichael,D,R,0.611,0.389
1980,Arkansas,Frank D. White,Bill Clinton,R,D,0.5193,0.4807
1980,Delaware,Pete du Pont,William J. Gordy,R,D,0.7066,0.2854
1980,Indiana,Robert D. Orr,John A. Hillenbrand II,R,D,0.5771999999999999,0.4192
1980,Missouri,Kit Bond,Joseph Teasdale,R,D,0.5263,0.4702
1980,Montana,Ted Schwinden,Jack Ramirez,D,R,0.5537,0.4463
1980,New Hampshire,Hugh Gallen,Meldrim Thomson,D,R,0.5896,0.4067
1980,North Carolina,Jim Hunt,I. Beverly Lake,D,R,0.6188,0.3743
1980,North Dakota,Allen I. Olson,Arthur A. Link,R,D,0.5361,0.4639
1980,Rhode Island,J. Joseph Garrahy,Buddy Cianci,D,R,0.7371,0.2628999999999999
1980,Utah,Scott M. Matheson,Bob Wright,D,R,0.5516,0.4443
1980,Vermont,Richard Snelling,M. Jerome Diamond,R,D,0.5870000000000001,0.366
1980,Washington,John Spellman,Jim McDermott,R,D,0.5668,0.4332
1980,West Virginia,Jay Rockefeller,Arch A. Moore Jr.,D,R,0.5415,0.4543999999999999
1981,New Jersey,Thomas Kean,James Florio,R,D,0.4946,0.4938
1981,Virginia,Chuck Robb,Marshall Coleman,D,R,0.5356000000000001,0.4644
1982,Alabama,George Wallace,Emory Folmar,D,R,0.5760000000000001,0.391
1982,Alaska,Bill Sheffield,Tom Fink,D,R,0.4612,0.3709
1982,Arizona,Bruce Babbitt,Leo Corbet,D,R,0.625,0.325
1982,Arkansas,Bill Clinton,Frank D. White,D,R,0.5471,0.4528999999999999
1982,California,George Deukmejian,Tom Bradley,R,D,0.4928,0.4809
1982,Colorado,Richard Lamm,John Fuhr,D,R,0.6568999999999999,0.3167
1982,Connecticut,Bill O'Neill,Lewis Rome,D,R,0.5335,0.4593
1982,Florida,Bob Graham,Skip Bafalis,D,R,0.647,0.353
1982,Georgia,Joe Frank Harris,Robert H. Bell,D,R,0.6282,0.3718
1982,Idaho,John V. Evans,Phil Batt,D,R,0.506,0.494
1982,Illinois,Jim Thompson,Adlai Stevenson III,R,D,0.4943999999999999,0.493
1982,Iowa,Terry Branstad,Roxanne Conlin,R,D,0.528,0.465
1982,Kansas,John W. Carlin,Sam Hardage,D,R,0.532,0.445
1982,Maine,Joseph Brennan,Charles Cragin,D,R,0.6191,0.3809
1982,Maryland,Harry Hughes,Robert A. Pascal,D,R,0.6197,0.38
1982,Massachusetts,Michael Dukakis,John W. Sears,D,R,0.5948,0.3657
1982,Michigan,James J. Blanchard,Richard Headlee,D,R,0.514,0.451
1982,Minnesota,Rudy Perpich,"Wheelock Whitney, Jr.",D,R,0.5876,0.3986
1982,Nebraska,Bob Kerrey,Charles Thone,D,R,0.506,0.493
1982,Nevada,Richard Bryan,Robert List,D,R,0.5329999999999999,0.4165
1982,New Hampshire,John H. Sununu,Hugh Gallen,R,D,0.5146999999999999,0.4684
1982,New Mexico,Toney Anaya,John B. Irick,D,R,0.5297,0.4703
1982,New York,Mario Cuomo,Lewis Lehrman,D,R,0.5091,0.4747999999999999
1982,Ohio,Dick Celeste,Bud Brown,D,R,0.5904,0.3885
1982,Oklahoma,George Nigh,Tom Daxon,D,R,0.6207,0.3762
1982,Oregon,Victor Atiyeh,Ted Kulongoski,R,D,0.614,0.3592
1982,Pennsylvania,Dick Thornburgh,Allen Ertel,R,D,0.5084000000000001,0.4810999999999999
1982,Rhode Island,J. Joseph Garrahy,Vincent Marzullo,D,R,0.733,0.236
1982,South Carolina,Richard Riley,"W. D. Workman, Jr.",D,R,0.698,0.302
1982,South Dakota,Bill Janklow,Mike O'Connor,R,D,0.7090000000000001,0.291
1982,Tennessee,Lamar Alexander,Randy Tyree,R,D,0.5956,0.4044
1982,Texas,Mark White,Bill Clements,D,R,0.532,0.4594
1982,Vermont,Richard Snelling,Madeleine Kunin,R,D,0.55,0.44
1982,Wisconsin,Anthony S. Earl,Terry J. Kohler,D,R,0.5676,0.4194
1982,Wyoming,Edgar Herschler,Warren A. Morton,D,R,0.6314,0.3686
1983,Kentucky,Martha Layne Collins,Jim Bunning,D,R,0.545,0.4411
1983,Louisiana,Edwin Edwards,Dave Treen,D,R,0.6231,0.3639
1983,Mississippi,William Allain,Leon Bramlett,D,R,0.551,0.3888
1984,Arkansas,Bill Clinton,Woody Freeman,D,R,0.6255,0.3745
1984,Delaware,Mike Castle,William T. Quillen,R,D,0.5553,0.4447
1984,Indiana,Robert D. Orr,Wayne Townsend,R,D,0.522,0.472
1984,Missouri,John Ashcroft,Ken Rothman,R,D,0.5670000000000001,0.433
1984,Montana,Ted Schwinden,Pat M. Goodover,D,R,0.7034,0.2641
1984,New Hampshire,John H. Sununu,Chris Spirou,R,D,0.6686,0.3314
1984,North Carolina,James G. Martin,Rufus L. Edmisten,R,D,0.5426,0.4540999999999999
1984,North Dakota,George A. Sinner,Allen I. Olson,D,R,0.5529999999999999,0.447
1984,Rhode Island,Edward D. DiPrete,Anthony J. Solomon,R,D,0.6001,0.3999
1984,Utah,Norman H. Bangerter,Wayne Owens,R,D,0.5587,0.4378
1984,Vermont,Madeleine Kunin,John Easton Jr.,D,R,0.5,0.485
1984,Washington,Booth Gardner,John Spellman,D,R,0.5331,0.4669
1984,West Virginia,Arch A. Moore Jr.,Clyde M. See Jr.,R,D,0.5326,0.4674
1985,New Jersey,Thomas Kean,Peter Shapiro,R,D,0.696,0.293
1985,Virginia,Gerald Baliles,Wyatt Durrette,D,R,0.552,0.4479999999999999
1986,Alabama,H. Guy Hunt,Bill Baxley,R,D,0.564,0.436
1986,Alaska,Steve Cowper,Arliss Sturgulewski,D,R,0.4731,0.4261
1986,Arizona,Evan Mecham,Carolyn Warner,R,D,0.3967,0.3449
1986,Arkansas,Bill Clinton,Frank D. White,D,R,0.639,0.361
1986,California,George Deukmejian,Tom Bradley,R,D,0.6053999999999999,0.3738
1986,Colorado,Roy Romer,Ted L. Strickland,D,R,0.5820000000000001,0.4103
1986,Connecticut,Bill O'Neill,Julie Belaga,D,R,0.5793,0.4111
1986,Florida,Bob Martinez,Steve Pajcic,R,D,0.546,0.4539999999999999
1986,Georgia,Joe Frank Harris,Guy Davis,D,R,0.7051000000000001,0.2949
1986,Hawaii,John D. Waiheʻe III,D. G. Anderson,D,R,0.52,0.48
1986,Idaho,Cecil Andrus,David Leroy,D,R,0.499,0.49
1986,Iowa,Terry Branstad,Lowell Junkins,R,D,0.519,0.48
1986,Kansas,Mike Hayden,Thomas Docking,R,D,0.519,0.481
